case,family,noise_std,noise_seed,variant,run,status,touches,false_stop,quality_met,final_rmse,final_max_error,coverage_95,interval_width,motion_time,audit_touches,coverage_touches,optimizer_fallbacks,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_available_8,rmse_at_available_16,rmse_at_available_32,rmse_at_available_64,rmse_at_available_128
circle-validation-3,circle,0.005,52002,guarded-stop,circle-validation-3-n0-s52002-guarded-stop,confident,34,False,True,0.002507880872883416,0.004849004431091153,1.0,0.01515456110548146,86.06765412868931,2,4,0,61.03451485205169,0.020016354683744474,0.0,0.010492692649768287,0.44589016500140133,0.008416099394241598,0.0037591091238901404,0.0025686638276583513,0.002507880872883416,0.002507880872883416
ellipse-validation-0,ellipse,0.005,52001,fixed-budget,ellipse-validation-0-n0-s52001-fixed-budget,budget_exhausted,128,False,True,0.0038892504039918525,0.01174767131673038,0.98828125,0.021285194199558686,255.71178954300677,0,0,0,174.53997902925033,0.03058573461704211,0.0,0.020987312901252143,3.9994228310006292,0.016653337168010807,0.004279133032378062,0.00425161464504173,0.004027120857549741,0.0038892504039918525
ellipse-validation-0,ellipse,0.005,52001,learned-budget,ellipse-validation-0-n0-s52001-learned-budget,budget_exhausted,128,False,True,0.0026038813720424625,0.007764033719773633,0.966064453125,0.010169941998947253,254.19036050980054,0,0,0,172.65848253502833,0.030542432034172687,0.0390625,0.02171580230105974,4.221221994001098,0.016653337168010807,0.004113852935033903,0.00330844309614459,0.0031714335761386507,0.0026038813720424625
ellipse-validation-0,ellipse,0.005,52001,learned-coverage,ellipse-validation-0-n0-s52001-learned-coverage,budget_exhausted,128,False,True,0.0019229072793211148,0.004836444949516183,1.0,0.01015505873500687,261.7472236455677,0,24,0,180.81344025319007,0.03054200215720386,0.0390625,0.021804038699519874,3.917358675998912,0.016653337168010807,0.004113852935033903,0.0033112660019328556,0.0025776145954653842,0.0019229072793211148
ellipse-validation-0,ellipse,0.005,52001,uncertainty-stop,ellipse-validation-0-n0-s52001-uncertainty-stop,confident,24,False,True,0.0034191533076335357,0.009127636832978958,1.0,0.022739598502797664,52.95261689842922,0,3,0,37.7222502057658,0.03054200215720386,0.0,0.017186495199530326,0.35015683799974795,0.016653337168010807,0.004113852935033903,0.0034191533076335357,0.0034191533076335357,0.0034191533076335357
ellipse-validation-0,ellipse,0.005,52001,guarded-stop,ellipse-validation-0-n0-s52001-guarded-stop,confident,34,False,True,0.0034075824155968457,0.00912814744429935,0.988525390625,0.01771523334644011,79.16898426010192,2,4,0,57.728036083585046,0.03054200215720386,0.0,0.014716034999764814,0.4950789770009578,0.016653337168010807,0.004113852935033903,0.0033112660019328556,0.0034075824155968457,0.0034075824155968457
ellipse-validation-0,ellipse,0.005,52002,fixed-budget,ellipse-validation-0-n0-s52002-fixed-budget,budget_exhausted,128,False,True,0.003759563612696566,0.010743702403156918,0.994140625,0.021285916802629222,263.59126108230964,0,0,0,182.1491545456447,0.030996309207179704,0.0,0.019906171700858975,3.756862711001304,0.017361214853192974,0.004901863338056988,0.004157298566445874,0.004167463887662254,0.003759563612696566
ellipse-validation-0,ellipse,0.005,52002,learned-budget,ellipse-validation-0-n0-s52002-learned-budget,budget_exhausted,128,False,True,0.001422296163406781,0.0036267375178848926,1.0,0.010122816941300999,250.77737481258075,0,0,0,170.01500334778922,0.03090547059313893,0.0859375,0.01570404404983491,3.5373355579995405,0.017361214853192974,0.004692634246007817,0.0030908487222979903,0.002535826669255253,0.001422296163406781
ellipse-validation-0,ellipse,0.005,52002,learned-coverage,ellipse-validation-0-n0-s52002-learned-coverage,budget_exhausted,128,False,True,0.002070999857279564,0.005285094963152659,0.986083984375,0.010133777978039007,257.46756642096915,0,24,0,176.68406342127008,0.030905802398962318,0.0546875,0.01847906600005444,3.5759372129996336,0.017361214853192974,0.004692634246007817,0.003126455826999887,0.0024398758346844524,0.002070999857279564
ellipse-validation-0,ellipse,0.005,52002,uncertainty-stop,ellipse-validation-0-n0-s52002-uncertainty-stop,confident,24,False,True,0.0037004811399695726,0.01051204616797552,0.980224609375,0.022633487492589408,52.76590358388906,0,3,0,37.581412201001584,0.030905802398962318,0.0,0.011343895698882988,0.28953169099986553,0.017361214853192974,0.004692634246007817,0.0037004811399695726,0.0037004811399695726,0.0037004811399695726
ellipse-validation-0,ellipse,0.005,52002,guarded-stop,ellipse-validation-0-n0-s52002-guarded-stop,confident,34,False,True,0.003095632806042885,0.010277647406495172,0.979736328125,0.01760011409756925,75.70863020244035,2,4,0,54.275761056856076,0.030905802398962318,0.0,0.01979942255075002,0.5973309599994536,0.017361214853192974,0.004692634246007817,0.003126455826999887,0.003095632806042885,0.003095632806042885
ellipse-validation-1,ellipse,0.005,52001,fixed-budget,ellipse-validation-1-n0-s52001-fixed-budget,budget_exhausted,128,False,True,0.0038685771223544007,0.012124665455349126,0.985595703125,0.021122350827544482,312.2946543677292,0,0,0,215.46893141293845,0.045063335012948735,0.0,0.022017159450115273,3.9417589570002747,0.025564787036385428,0.005710744898334817,0.0048806269599856586,0.004544053896968165,0.0038685771223544007
ellipse-validation-1,ellipse,0.005,52001,learned-budget,ellipse-validation-1-n0-s52001-learned-budget,budget_exhausted,128,False,True,0.002527835016781542,0.006223585681833177,0.9697265625,0.010877251262538076,303.09501853714966,0,0,0,206.77511559730814,0.0448931172136997,0.0703125,0.022178884601999016,4.052286500000264,0.025564787036385428,0.004619904709610954,0.004227700726844617,0.003245880230969809,0.002527835016781542
ellipse-validation-1,ellipse,0.005,52001,learned-coverage,ellipse-validation-1-n0-s52001-learned-coverage,budget_exhausted,128,False,True,0.0023293674707377684,0.005473640929319845,1.0,0.010796659915659541,302.63720547985724,0,24,0,206.60898781721497,0.04489664790675471,0.015625,0.020638281949231892,4.041468893001365,0.025564787036385428,0.004619904709610954,0.0036894692301487485,0.0025053251912724624,0.0023293674707377684
ellipse-validation-1,ellipse,0.005,52001,uncertainty-stop,ellipse-validation-1-n0-s52001-uncertainty-stop,confident,28,False,True,0.0038871478810287084,0.010298846254338134,0.989990234375,0.022059256668938716,73.67408540096118,0,4,0,52.50039445643016,0.04489664790675471,0.0,0.015870520749740533,0.43040557600033935,0.025564787036385428,0.004619904709610954,0.0038871478810287084,0.0038871478810287084,0.0038871478810287084
ellipse-validation-1,ellipse,0.005,52001,guarded-stop,ellipse-validation-1-n0-s52001-guarded-stop,confident,34,False,True,0.0036257707843821456,0.010050083038510571,0.990478515625,0.018888009991030977,90.04840448890684,2,4,0,64.35920935676536,0.04489664790675471,0.0,0.01916946849996748,0.634594138000466,0.025564787036385428,0.004619904709610954,0.0036894692301487485,0.0036257707843821456,0.0036257707843821456
