case,family,noise_std,noise_seed,policy,run,status,final_rmse,final_max_error,coverage_95,interval_width,motion_time,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_8,rmse_at_16,rmse_at_32,rmse_at_64,rmse_at_128
circle-1,circle,0.0,51001,cost,circle-1-n0-s51001-cost,budget_exhausted,6.35244507400793e-07,2.810793834406855e-06,1.0,0.010996169508953369,309.3081918667381,214.4433416547871,0.019973212251108218,0.0,0.02808947594166965,4.943669767992105,0.007899491565575244,0.0009349397530501308,7.340099102638415e-05,5.990292119671777e-06,6.35244507400793e-07
circle-1,circle,0.0,51002,random,circle-1-n0-s51002-random,budget_exhausted,2.4800863173868763e-05,0.00017474404393996723,1.0,0.01891288656990671,400.95434005817793,306.08948984622674,0.02157850570444478,0.0,0.005828654902870765,3.3582762390142307,0.007899491565575244,0.006153306238942139,0.0038262931105747127,0.00013083798458150093,2.4800863173868763e-05
circle-1,circle,0.0,51002,sweep,circle-1-n0-s51002-sweep,budget_exhausted,2.162800175483336e-07,3.389013031318555e-07,1.0,0.010493872192370045,245.12643570160333,150.26158548965165,0.02191246936822846,0.0,0.004582633412792345,3.0446042709809262,0.007899491565575244,0.007583140806496879,0.007059363086230446,0.005852864802921605,2.162800175483336e-07
circle-1,circle,0.0,51002,gap,circle-1-n0-s51002-gap,budget_exhausted,2.1628001753802022e-07,3.389013031318555e-07,1.0,0.010493872192365236,263.2887682301684,168.4239180182178,0.019983719526839864,0.0,0.0075950753191136745,3.301135207002517,0.007899491565575244,0.0007729345535732731,5.366448010362775e-05,3.4391074933621818e-06,2.1628001753802022e-07
circle-1,circle,0.0,51002,variance,circle-1-n0-s51002-variance,budget_exhausted,2.1628001754187023e-07,3.389013031318555e-07,1.0,0.010493872192361139,400.83162159514734,305.9667713831956,0.0212763613262734,0.0,0.005522410392586606,3.1107478190097027,0.007899491565575244,0.0007729345535732737,5.366448010362923e-05,3.4391074933584125e-06,2.1628001754187023e-07
circle-1,circle,0.0,51002,cost,circle-1-n0-s51002-cost,budget_exhausted,6.35244507400793e-07,2.810793834406855e-06,1.0,0.010996169508953369,309.3081918667381,214.4433416547871,0.019973212251108218,0.0,0.02218859046552097,4.844414327002596,0.007899491565575244,0.0009349397530501308,7.340099102638415e-05,5.990292119671777e-06,6.35244507400793e-07
circle-1,circle,0.005,51001,random,circle-1-n1-s51001-random,budget_exhausted,0.005296915762747072,0.013840658791241911,0.968017578125,0.029066672487419537,400.95434005817793,306.08948984622674,0.022640818635692863,0.0,0.005734213090909172,3.2092137040162925,0.00897563603986175,0.0086393080075169,0.008683083798603093,0.005498649074270226,0.005296915762747072
circle-1,circle,0.005,51001,sweep,circle-1-n1-s51001-sweep,budget_exhausted,0.003966968531682056,0.012233038936694085,0.98046875,0.0205785428276822,245.12643570160333,150.26158548965165,0.022895475413382663,0.0,0.005535594293905886,3.0433870619744994,0.00897563603986175,0.008762409928016069,0.008321415437237913,0.008357734677795848,0.003966968531682056
circle-1,circle,0.005,51001,gap,circle-1-n1-s51001-gap,budget_exhausted,0.003966968531682155,0.012233038936697416,0.98046875,0.02057854282767856,263.2887682301684,168.42391801821776,0.02136042016555122,0.0,0.008524208641028963,3.288579201005632,0.00897563603986175,0.0044033353440577315,0.0038765891837037295,0.004451675863254491,0.003966968531682155
circle-1,circle,0.005,51001,variance,circle-1-n1-s51001-variance,budget_exhausted,0.003966968531682173,0.012233038936697638,0.98046875,0.020578542827678556,378.93864779044367,284.0737975784921,0.02205728856109941,0.0,0.005403873398608992,2.9651785269961692,0.00897563603986175,0.0044033353440577315,0.0038765891837037316,0.0044516758632544805,0.003966968531682173
circle-1,circle,0.005,51001,cost,circle-1-n1-s51001-cost,budget_exhausted,0.004159171967100411,0.012427163369103822,0.97607421875,0.021065421743377038,293.9192966026696,199.05444639071837,0.02130479367482974,0.0,0.022397158286185,4.415889175987104,0.00897563603986175,0.004650861827486299,0.005556410523928795,0.005190517064027112,0.004159171967100411
circle-1,circle,0.005,51002,random,circle-1-n1-s51002-random,budget_exhausted,0.006338907934266924,0.02807898073083942,0.978271484375,0.029066672487419537,400.95434005817793,306.08948984622674,0.022881400127155515,0.0,0.006445790259749622,3.34529856898007,0.009373778711520741,0.009409275529933996,0.009133332767138477,0.006567424020717472,0.006338907934266924
circle-1,circle,0.005,51002,sweep,circle-1-n1-s51002-sweep,budget_exhausted,0.004531362719224237,0.014111378478964431,0.98193359375,0.0205785428276822,245.12643570160333,150.26158548965165,0.022939486204660672,0.0,0.004922980464471037,3.1748589780181646,0.009373778711520741,0.010503618199181266,0.008492143321590179,0.007960177662397878,0.004531362719224237
circle-1,circle,0.005,51002,gap,circle-1-n1-s51002-gap,budget_exhausted,0.004531362719224132,0.014111378478965375,0.98193359375,0.020578542827678722,263.2887682301684,168.42391801821776,0.02162037153807848,0.0,0.006420091770996803,3.3821235579962377,0.009373778711520741,0.004941049418861489,0.0046995034940240914,0.004953624531844729,0.004531362719224132
circle-1,circle,0.005,51002,variance,circle-1-n1-s51002-variance,budget_exhausted,0.0045313627192242545,0.014111378478966652,0.98193359375,0.020578542827678938,376.97515238195007,282.11030216999853,0.022162914693817575,0.0,0.0051542749919462946,3.2138934420072474,0.009373778711520741,0.004941049418861489,0.004699503494024092,0.004953624531844751,0.0045313627192242545
circle-1,circle,0.005,51002,cost,circle-1-n1-s51002-cost,budget_exhausted,0.00501177539827228,0.014974818857370342,0.96826171875,0.021068214548146752,300.98788007324663,206.1230298612953,0.021613774553237177,0.0,0.029248419408395416,4.983203815005254,0.009373778711520741,0.0052299322384316066,0.005780865427362661,0.005668211821790678,0.00501177539827228
circle-1,circle,0.015,51001,random,circle-1-n2-s51001-random,budget_exhausted,0.011829484458967233,0.039300100321600195,0.9619140625,0.05203961949931295,400.95434005817793,306.08948984622674,0.026828638300042177,0.0,0.004986969083256553,3.366168562002713,0.014242863113037088,0.01514140997255325,0.01982161784510145,0.013610537455656829,0.011829484458967233
circle-1,circle,0.015,51001,sweep,circle-1-n2-s51001-sweep,budget_exhausted,0.00917158287930409,0.028818348028297136,0.981201171875,0.044465203168167544,245.12643570160333,150.26158548965165,0.027026157720611947,0.0,0.006087824513087978,3.193751818005694,0.014242863113037088,0.01457589909504907,0.014818633397632822,0.016709699785839038,0.00917158287930409
circle-1,circle,0.015,51001,gap,circle-1-n2-s51001-gap,budget_exhausted,0.009171582879304217,0.02881834802829647,0.981201171875,0.044465203168166566,263.2887682301684,168.42391801821776,0.02588462883183475,0.0,0.009298707041307346,3.5034913459967356,0.014242863113037088,0.012869269549981896,0.011339472064345874,0.011870222469108595,0.009171582879304217
circle-1,circle,0.015,51001,variance,circle-1-n2-s51001-variance,budget_exhausted,0.009171582879304167,0.028818348028295804,0.981201171875,0.04446520316816656,360.1872666393286,265.3224164273777,0.02591488225959788,0.0,0.0057467345424811345,2.9752171669970267,0.014242863113037088,0.012869269549981896,0.011339472064345865,0.011870222469108639,0.009171582879304167
circle-1,circle,0.015,51001,cost,circle-1-n2-s51001-cost,budget_exhausted,0.009883786745710246,0.03034401650088886,0.964599609375,0.04480197630873745,288.07789776240077,193.2130475504496,0.026276472235388048,0.0,0.021280791485332885,4.454254689015215,0.014242863113037088,0.01401484846795329,0.016602466457574946,0.014679837001321928,0.009883786745710246
circle-1,circle,0.015,51002,random,circle-1-n2-s51002-random,budget_exhausted,0.013284734690293579,0.04546650853807138,0.9619140625,0.05203961949931295,400.95434005817793,306.08948984622674,0.028072579499061154,0.0,0.0048782964091515155,2.9420069819898345,0.01680697135273563,0.018533750145973433,0.018644474471624692,0.012991511355891357,0.013284734690293579
circle-1,circle,0.015,51002,sweep,circle-1-n2-s51002-sweep,budget_exhausted,0.011058952091270013,0.03213004554879578,0.96142578125,0.044465203168167544,245.12643570160333,150.26158548965165,0.028033000256144303,0.0,0.004131181839329656,3.0341872069984674,0.01680697135273563,0.017730941359488172,0.01665829279086857,0.016001519630606854,0.011058952091270013
circle-1,circle,0.015,51002,gap,circle-1-n2-s51002-gap,budget_exhausted,0.01105895209126993,0.03213004554879656,0.96142578125,0.04446520316816677,263.2887682301684,168.42391801821776,0.0273634660123489,0.0,0.007076840189984067,3.1570777539745905,0.01680697135273563,0.014484361890519016,0.013633704358660991,0.012890687230838221,0.01105895209126993
circle-1,circle,0.015,51002,variance,circle-1-n2-s51002-variance,budget_exhausted,0.011058952091269949,0.032130045548797226,0.96142578125,0.044465203168166656,360.1872666393285,265.32241642737773,0.02725191844162085,0.0,0.0058826314460020505,3.056726382987108,0.01680697135273563,0.014484361890519017,0.013633704358660998,0.01289068723083827,0.011058952091269949
circle-1,circle,0.015,51002,cost,circle-1-n2-s51002-cost,budget_exhausted,0.012231093403356505,0.0380100915911577,0.95458984375,0.04484408011398906,286.0407712760887,191.1759210641375,0.02759514548473043,0.0,0.022102289252507033,4.53517344800639,0.01680697135273563,0.014946379904690265,0.01706760028460385,0.014739619897020913,0.012231093403356505
